original_name,standard_name
Stilpnia vitriolina,Stilpnia vitriolina
Ramphocelus carbo,Ramphocelus carbo
Myioborus miniatus,Myioborus miniatus
Myiozetetes similis,Myiozetetes similis
Piaya cayana,Piaya cayana
Lepidocolaptes souleyetii,Lepidocolaptes souleyetii
Saltator striatipectus,Saltator striatipectus
Saucerottia saucerottei,Saucerottia saucerottei
Leiothlypis peregrina,Leiothlypis peregrina
Tyrannus melancholicus,Tyrannus melancholicus
Megascops choliba,Megascops choliba
Melozone leucotis,Melozone leucotis
Contopus sordidulus,Contopus sordidulus
Pionus senilis,Pionus senilis
Amazona albifrons,Amazona albifrons
Pheugopedius mystacalis,Pheugopedius mystacalis
Leptotila verreauxi,Leptotila verreauxi
Elaenia flavogaster,Elaenia flavogaster
Icterus chrysater,Icterus chrysater
Euphonia luteicapilla,Euphonia luteicapilla
Tiaris olivaceus,Tiaris olivaceus
Milvago chimachima,Daptrius chimachima
Setophaga petechia,Setophaga petechia
Euphonia hirundinacea,Euphonia hirundinacea
Vireo flavifrons,Vireo flavifrons
Dendrocolaptes certhia,Dendrocolaptes certhia
Glaucidium hardyi,Glaucidium hardyi
Conopophaga peruviana,Conopophaga peruviana
Micrastur ruficollis,Micrastur ruficollis
Thamnophilus doliatus,Thamnophilus doliatus
Crypturellus bartletti,Crypturellus bartletti
Pipra fasciicauda,Pipra fasciicauda
Daptrius ater,Daptrius ater
Turdus ignobilis,Turdus ignobilis
Pachyramphus marginatus,Pachyramphus marginatus
Trogon curucui,Trogon curucui
Formicarius analis,Formicarius analis
Conioptilon mcilhennyi,Conioptilon mcilhennyi
Galbula cyanescens,Galbula cyanescens
Monasa nigrifrons,Monasa nigrifrons
Claravis pretiosa,Claravis pretiosa
Pionus menstruus,Pionus menstruus
Myrmophylax atrothorax,Myrmophylax atrothorax
Trogon melanurus,Trogon melanurus
Attila spadiceus,Attila spadiceus
Phlegopsis nigromaculata,Phlegopsis nigromaculata
Automolus ochrolaemus,Automolus ochrolaemus
Cyanoloxia rothschildii,Cyanoloxia rothschildii
Cantorchilus leucotis,Cantorchilus leucotis
Momotus momota,Momotus momota
Micrastur buckleyi,Micrastur buckleyi
Xiphorhynchus guttatus,Xiphorhynchus guttatus
Dendroma erythroptera,Dendroma erythroptera
Laniocera hypopyrra,Laniocera hypopyrra
Crypturellus cinereus,Crypturellus cinereus
Dendrexetastes rufigula,Dendrexetastes rufigula
Micrastur semitorquatus,Micrastur semitorquatus
Trogon collaris,Trogon collaris
Brotogeris cyanoptera,Brotogeris cyanoptera
Philydor pyrrhodes,Philydor pyrrhodes
Attila bolivianus,Attila bolivianus
Pachysylvia hypoxantha,Pachysylvia hypoxantha
Aratinga weddellii,Aratinga weddellii
Thamnomanes ardesiacus,Thamnomanes ardesiacus
Xiphorhynchus elegans,Xiphorhynchus elegans
Lathrotriccus euleri,Lathrotriccus euleri
Cymbilaimus lineatus,Cymbilaimus lineatus
Glaucidium brasilianum,Glaucidium brasilianum
Myiopagis gaimardii,Myiopagis gaimardii
Chloroceryle inda,Chloroceryle inda
Capito auratus,Capito auratus
Trogon viridis,Trogon viridis
Platyrinchus coronatus,Platyrinchus coronatus
Akletos goeldii,Akletos goeldii
Piculus chrysochloros,Piculus chrysochloros
Rhytipterna simplex,Rhytipterna simplex
Saltator coerulescens,Saltator coerulescens
Myiozetetes granadensis,Myiozetetes granadensis
Taraba major,Taraba major
Mesembrinibis cayennensis,Mesembrinibis cayennensis
Tinamus major,Tinamus major
Leptotila rufaxilla,Leptotila rufaxilla
Myrmotherula menetriesii,Myrmotherula menetriesii
Cercomacra cinerascens,Cercomacra cinerascens
Tolmomyias poliocephalus,Tolmomyias poliocephalus
Turdus hauxwelli,Turdus hauxwelli
Anhima cornuta,Anhima cornuta
Eubucco richardsoni,Eubucco richardsoni
Dryobates passerinus,Dryobates passerinus
Nasica longirostris,Nasica longirostris
Myrmotherula longipennis,Myrmotherula longipennis
Amazona farinosa,Amazona farinosa
Cyphorhinus arada,Cyphorhinus arada
Psarocolius bifasciatus,Psarocolius bifasciatus
Tangara chilensis,Tangara chilensis
Patagioenas cayennensis,Patagioenas cayennensis
Legatus leucophaius,Legatus leucophaius
Dendrocincla fuliginosa,Dendrocincla fuliginosa
Isleria hauxwelli,Isleria hauxwelli
Myrmelastes hyperythrus,Myrmelastes hyperythrus
Patagioenas plumbea,Patagioenas plumbea
Thamnophilus schistaceus,Thamnophilus schistaceus
Euphonia chlorotica,Euphonia chlorotica
Querula purpurata,Querula purpurata
Myrmotherula brachyura,Myrmotherula brachyura
Orthopsittaca manilatus,Orthopsittaca manilatus
Campephilus rubricollis,Campephilus rubricollis
Corythopis torquatus,Corythopis torquatus
Celeus torquatus,Celeus torquatus
Onychorhynchus coronatus,Onychorhynchus coronatus
Formicarius colma,Formicarius colma
Patagioenas subvinacea,Patagioenas subvinacea
Formicarius rufifrons,Formicarius rufifrons
Poecilotriccus latirostris,Poecilotriccus latirostris
Geotrygon montana,Geotrygon montana
Patagioenas speciosa,Patagioenas speciosa
Celeus grammicus,Celeus undatus
Lipaugus vociferans,Lipaugus vociferans
Cacicus solitarius,Cacicus solitarius
Ortalis guttata,Ortalis guttata
Penelope jacquacu,Penelope jacquacu
Pygiptila stellaris,Pygiptila stellaris
Dendroplex picus,Dendroplex picus
Tapera naevia,Tapera naevia
Xiphorhynchus obsoletus,Xiphorhynchus obsoletus
Xenops rutilans,Xenops rutilans
Odontophorus stellatus,Odontophorus stellatus
Megascops watsonii,Megascops watsonii
Campylorhynchus turdinus,Campylorhynchus turdinus
Crypturellus undulatus,Crypturellus undulatus
Trogon ramonianus,Trogon ramonianus
Nystalus obamai,Nystalus obamai
Hemitriccus griseipectus,Hemitriccus griseipectus
Platyrinchus platyrhynchos,Anas platyrhynchos
Myrmotherula axillaris,Myrmotherula axillaris
Ornithion inerme,Ornithion inerme
Turdus albicollis,Turdus albicollis
Sirystes albocinereus,Sirystes albocinereus
Ramphastos tucanus,Ramphastos tucanus
Piculus leucolaemus,Piculus leucolaemus
Pachyramphus polychopterus,Pachyramphus polychopterus
Piprites chloris,Piprites chloris
Tyrannulus elatus,Tyrannulus elatus
Tolmomyias assimilis,Tolmomyias assimilis
Cacicus cela,Cacicus cela
Melanerpes cruentatus,Melanerpes cruentatus
AMCR,Corvus brachyrhynchos
AMGO,Spinus tristis
AMRE,Setophaga ruticilla
AMRO,Turdus migratorius
BAOR,Icterus galbula
BAWW,Mniotilta varia
BBWA,Setophaga castanea
BCCH,Poecile atricapillus
BGGN,Polioptila caerulea
BHCO,Molothrus ater
BHVI,Vireo solitarius
BLJA,Cyanocitta cristata
BRCR,Certhia americana
BTNW,Setophaga virens
BWWA,Vermivora cyanoptera
CANG,Branta canadensis
CARW,Thryothorus ludovicianus
CEDW,Bombycilla cedrorum
CORA,Corvus corax
COYE,Geothlypis trichas
CSWA,Setophaga pensylvanica
DOWO,Dryobates pubescens
EATO,Pipilo erythrophthalmus
EAWP,Contopus virens
HAWO,Dryobates villosus
HETH,Catharus guttatus
HOWA,Setophaga citrina
KEWA,Animalia
LOWA,Parkesia motacilla
NAWA,Leiothlypis ruficapilla
NOCA,Cardinalis cardinalis
NOFL,Colaptes auratus
OVEN,Seiurus aurocapilla
PIWO,Dryocopus pileatus
RBGR,Pheucticus ludovicianus
RBWO,Melanerpes carolinus
RCKI,Corthylio calendula
REVI,Vireo olivaceus
RSHA,Buteo lineatus
RWBL,Agelaius phoeniceus
SCTA,Piranga olivacea
SWTH,Catharus ustulatus
TUTI,Psittaciformes
VEER,Catharus fuscescens
WBNU,Sitta carolinensis
WITU,Meleagris gallopavo
WOTH,Hylocichla mustelina
YBCU,Coccyzus americanus
Loxops coccineus,Loxops coccineus
Himatione sanguinea,Himatione sanguinea
Hydrobates castro,Hydrobates castro
Francolinus francolinus,Francolinus francolinus
Callipepla californica,Callipepla californica
Alectoris chukar,Alectoris chukar
Estrilda astrild,Estrilda astrild
Chasiempis sandwichensis,Chasiempis sandwichensis
Pternistis erckelii,Pternistis erckelii
Chlorodrepanis virens,Chlorodrepanis virens
Loxops mana,Loxops mana
Branta sandvicensis,Branta sandvicensis
Buteo solitarius,Buteo solitarius
Pterodroma sandwichensis,Pterodroma sandwichensis
Haemorhous mexicanus,Haemorhous mexicanus
Drepanis coccinea,Drepanis coccinea
Horornis diphone,Horornis diphone
Lophura leucomelanos,Lophura leucomelanos
Garrulax canorus,Garrulax canorus
Cardinalis cardinalis,Cardinalis cardinalis
Myadestes obscurus,Myadestes obscurus
Loxioides bailleui,Loxioides bailleui
Leiothrix lutea,Leiothrix lutea
Alauda arvensis,Alauda arvensis
Zosterops japonicus,Zosterops japonicus
Meleagris gallopavo,Meleagris gallopavo
Crithagra mozambica,Crithagra mozambica
Anthus rubescens,Anthus rubescens
Turdus migratorius,Turdus migratorius
Euphagus cyanocephalus,Euphagus cyanocephalus
Haemorhous cassinii,Haemorhous cassinii
Nucifraga columbiana,Nucifraga columbiana
Junco hyemalis,Junco hyemalis
Empidonax oberholseri,Empidonax oberholseri
Passerella iliaca,Passerella iliaca
Leucosticte tephrocotis,Leucosticte tephrocotis
Catharus guttatus,Catharus guttatus
Anas platyrhynchos,Anas platyrhynchos
Sialia currucoides,Sialia currucoides
Poecile gambeli,Poecile gambeli
Colaptes auratus,Colaptes auratus
Leiothlypis celata,Leiothlypis celata
Salpinctes obsoletus,Salpinctes obsoletus
Actitis macularius,Actitis macularius
Vireo gilvus,Vireo gilvus
Zonotrichia leucophrys,Zonotrichia leucophrys
Setophaga coronata,Setophaga coronata
Spinus tristis,Spinus tristis
Calypte anna,Calypte anna
Patagioenas fasciata,Patagioenas fasciata
Thryomanes bewickii,Thryomanes bewickii
Pheucticus melanocephalus,Pheucticus melanocephalus
Molothrus ater,Molothrus ater
Certhia americana,Certhia americana
Setophaga nigrescens,Setophaga nigrescens
Branta canadensis,Branta canadensis
Vireo cassinii,Vireo cassinii
Poecile rufescens,Poecile rufescens
Corvus corax,Corvus corax
Coccothraustes vespertinus,Coccothraustes vespertinus
Pipilo chlorurus,Pipilo chlorurus
Regulus satrapa,Regulus satrapa
Empidonax hammondii,Empidonax hammondii
Setophaga occidentalis,Setophaga occidentalis
Vireo huttoni,Vireo huttoni
Passerina amoena,Passerina amoena
Melospiza lincolnii,Melospiza lincolnii
Geothlypis tolmiei,Geothlypis tolmiei
Zenaida macroura,Zenaida macroura
Oreortyx pictus,Oreortyx pictus
Leiothlypis ruficapilla,Leiothlypis ruficapilla
Contopus cooperi,Contopus cooperi
Empidonax difficilis,Empidonax difficilis
Spinus pinus,Spinus pinus
Haemorhous purpureus,Haemorhous purpureus
Sitta canadensis,Sitta canadensis
Loxia curvirostra,Loxia curvirostra
Corthylio calendula,Corthylio calendula
Pipilo maculatus,Pipilo maculatus
Cyanocitta stelleri,Cyanocitta stelleri
Catharus ustulatus,Catharus ustulatus
Myadestes townsendi,Myadestes townsendi
Setophaga townsendi,Setophaga townsendi
Pooecetes gramineus,Pooecetes gramineus
Piranga ludoviciana,Piranga ludoviciana
Dryobates albolarvatus,Dryobates albolarvatus
Sphyrapicus thyroideus,Sphyrapicus thyroideus
Cardellina pusilla,Cardellina pusilla
Acropternis orthonyx,Acropternis orthonyx
Amaurospiza moesta,Amaurospiza moesta
Amazona aestiva,Amazona aestiva
Amazona amazonica,Amazona amazonica
Amazona autumnalis,Amazona autumnalis
Amazona mercenarius,Amazona mercenarius
Amazona xantholora,Amazona xantholora
Amblycercus holosericeus,Amblycercus holosericeus
Amblyramphus holosericeus,Amblyramphus holosericeus
Anabacerthia lichtensteini,Anabacerthia lichtensteini
Anabacerthia striaticollis,Anabacerthia striaticollis
Andigena hypoglauca,Andigena hypoglauca
Andigena nigrirostris,Andigena nigrirostris
Anhinga anhinga,Anhinga anhinga
Anisognathus igniventris,Anisognathus igniventris
Anisognathus lacrymosus,Anisognathus lacrymosus
Anisognathus somptuosus,Anisognathus somptuosus
Anthracothorax prevostii,Anthracothorax prevostii
Antrostomus rufus,Antrostomus rufus
Antrostomus sericocaudatus,Antrostomus sericocaudatus
Anurolimnas viridis,Rufirallus viridis
Ara ararauna,Ara ararauna
Ara chloropterus,Ara chloropterus
Ara macao,Ara macao
Ara severus,Ara severus
Aratinga jandaya,Aratinga jandaya
Arremon aurantiirostris,Arremon aurantiirostris
Arremon flavirostris,Arremon flavirostris
Arremon taciturnus,Arremon taciturnus
Arremon torquatus,Arremon torquatus
Arremonops chloronotus,Arremonops chloronotus
Atlapetes albinucha,Atlapetes albinucha
Atlapetes blancae,Atlapetes blancae
Atlapetes latinuchus,Atlapetes latinuchus
Atlapetes schistaceus,Atlapetes schistaceus
Automolus infuscatus,Automolus infuscatus
Automolus leucophthalmus,Automolus leucophthalmus
Automolus rufipileatus,Automolus rufipileatus
Baryphthengus ruficapillus,Baryphthengus ruficapillus
Basileuterus culicivorus,Basileuterus culicivorus
Biatas nigropectus,Biatas nigropectus
Brotogeris chiriri,Brotogeris chiriri
Buthraupis montana,Buthraupis montana
Campephilus guatemalensis,Campephilus guatemalensis
Campephilus robustus,Campephilus robustus
Camptostoma obsoletum,Camptostoma obsoletum
Campylorhamphus pusillus,Campylorhamphus pusillus
Campylorhynchus zonatus,Campylorhynchus zonatus
Cantorchilus longirostris,Cantorchilus longirostris
Capsiempis flaveola,Capsiempis flaveola
Casiornis rufus,Casiornis rufus
Celeus lugubris,Celeus lugubris
Ceratopipra rubrocapilla,Ceratopipra rubrocapilla
Cercibis oxycerca,Cercibis oxycerca
Cercomacra melanaria,Cercomacra melanaria
Cercomacroides nigrescens,Cercomacroides nigrescens
Cercomacroides parkeri,Cercomacroides parkeri
Cercomacroides tyrannina,Cercomacroides tyrannina
Chalcostigma herrani,Chalcostigma herrani
Chamaepetes goudotii,Chamaepetes goudotii
Chamaeza campanisona,Chamaeza campanisona
Chauna torquata,Chauna torquata
Chelidoptera tenebrosa,Chelidoptera tenebrosa
Chiroxiphia caudata,Chiroxiphia caudata
Chiroxiphia pareola,Chiroxiphia pareola
Chlorophonia cyanea,Chlorophonia cyanea
Chlorostilbon lucidus,Chlorostilbon lucidus
Cinnycerthia olivascens,Cinnycerthia olivascens
Cinnycerthia unirufa,Cinnycerthia unirufa
Cissopis leverianus,Cissopis leverianus
Cistothorus platensis,Cistothorus platensis
Cnemathraupis eximia,Cnemathraupis eximia
Cnemotriccus fuscatus,Cnemotriccus fuscatus
Colaptes campestris,Colaptes campestris
Colaptes melanochloros,Colaptes melanochloros
Colaptes rivolii,Colaptes rivolii
Colaptes rubiginosus,Colaptes rubiginosus
Colibri coruscans,Colibri coruscans
Colibri cyanotus,Colibri cyanotus
Colonia colonus,Colonia colonus
Columbina talpacoti,Columbina talpacoti
Conirostrum speciosum,Conirostrum speciosum
Conopophaga aurita,Conopophaga aurita
Conopophaga cearae,Conopophaga cearae
Conopophaga lineata,Conopophaga lineata
Conopophaga melanops,Conopophaga melanops
Contopus pertinax,Contopus pertinax
Contopus virens,Contopus virens
Corythopis delalandi,Corythopis delalandi
Cranioleuca erythrops,Cranioleuca erythrops
Cranioleuca vulpina,Cranioleuca vulpina
Crax fasciolata,Crax fasciolata
Crotophaga ani,Crotophaga ani
Cryptopezus nattereri,Cryptopezus nattereri
Crypturellus cinnamomeus,Crypturellus cinnamomeus
Crypturellus obsoletus,Crypturellus obsoletus
Crypturellus strigulosus,Crypturellus strigulosus
Crypturellus tataupa,Crypturellus tataupa
Crypturellus variegatus,Crypturellus variegatus
Cyanocorax chrysops,Cyanocorax chrysops
Cyanocorax cyanomelas,Cyanocorax cyanomelas
Cyanocorax cyanopogon,Cyanocorax cyanopogon
Cyanocorax yucatanicus,Cyanocorax yucatanicus
Cyanoloxia brissonii,Cyanoloxia brissonii
Cyanolyca armillata,Cyanolyca armillata
Cyclarhis gujanensis,Cyclarhis gujanensis
Cyclarhis nigrirostris,Cyclarhis nigrirostris
Dendrocincla homochroa,Dendrocincla homochroa
Dendrocolaptes picumnus,Dendrocolaptes picumnus
Dendrocolaptes platyrostris,Dendrocolaptes platyrostris
Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae
Diglossa albilatera,Diglossa albilatera
Diglossa cyanea,Diglossa cyanea
Diglossa humeralis,Diglossa humeralis
Diglossa lafresnayii,Diglossa lafresnayii
Diopsittaca nobilis,Diopsittaca nobilis
Drymophila malura,Drymophila malura
Dryobates fumigatus,Dryobates fumigatus
Dubusia taeniata,Dubusia taeniata
Dumetella carolinensis,Dumetella carolinensis
Dysithamnus mentalis,Dysithamnus mentalis
Elaenia chiriquensis,Elaenia chiriquensis
Elaenia frantzii,Elaenia frantzii
Elaenia spectabilis,Elaenia spectabilis
Empidonax occidentalis,Empidonax difficilis
Empidonax virescens,Empidonax virescens
Epinecrophylla leucophthalma,Epinecrophylla leucophthalma
Epinecrophylla ornata,Epinecrophylla ornata
Eucometis penicillata,Eucometis penicillata
Eupsittula nana,Eupsittula nana
Euscarthmus meloryphus,Euscarthmus meloryphus
Formicarius moniliger,Formicarius moniliger
Formicivora grisea,Formicivora grisea
Formicivora rufa,Formicivora rufa
Furnarius leucopus,Furnarius leucopus
Furnarius rufus,Furnarius rufus
Galbula cyanicollis,Galbula cyanicollis
Galbula ruficauda,Galbula ruficauda
Geothlypis aequinoctialis,Geothlypis aequinoctialis
Geothlypis formosa,Geothlypis formosa
Glaucidium jardinii,Glaucidium jardinii
Glyphorynchus spirurus,Glyphorynchus spirurus
Grallaria nuchalis,Grallaria nuchalis
Grallaria quitensis,Grallaria quitensis
Grallaria ruficapilla,Grallaria ruficapilla
Grallaria varia,Grallaria varia
Grallaricula nana,Grallaricula nana
Habia fuscicauda,Driophlox fuscicauda
Hemignathus wilsoni,Hemignathus wilsoni
Hemithraupis guira,Hemithraupis guira
Hemithraupis ruficapilla,Hemithraupis ruficapilla
Hemitriccus margaritaceiventer,Hemitriccus margaritaceiventer
Hemitriccus minor,Hemitriccus minor
Hemitriccus striaticollis,Hemitriccus striaticollis
Henicorhina leucophrys,Henicorhina leucophrys
Henicorhina leucosticta,Henicorhina leucosticta
Herpsilochmus atricapillus,Herpsilochmus atricapillus
Herpsilochmus frater,Herpsilochmus frater
Herpsilochmus longirostris,Herpsilochmus longirostris
Herpsilochmus pectoralis,Herpsilochmus pectoralis
Herpsilochmus rufimarginatus,Herpsilochmus rufimarginatus
Herpsilochmus sellowi,Radinopsyche sellowi
Hylexetastes uniformis,Hylexetastes uniformis
Hylocichla mustelina,Hylocichla mustelina
Hylophilus amaurocephalus,Hylophilus amaurocephalus
Hylophilus flavipes,Hylophilus flavipes
Hylophilus pectoralis,Hylophilus pectoralis
Hylophilus poicilotis,Hylophilus poicilotis
Hypocnemis striata,Hypocnemis striata
Hypocnemoides maculicauda,Hypocnemoides maculicauda
Hypoedaleus guttatus,Hypoedaleus guttatus
Ilicura militaris,Ilicura militaris
Inezia inornata,Inezia inornata
Iodopleura isabellae,Iodopleura isabellae
Iridosornis rufivertex,Iridosornis rufivertex
Ixothraupis punctata,Ixothraupis punctata
Kleinothraupis atropileus,Kleinothraupis atropileus
Lamprospiza melanoleuca,Lamprospiza melanoleuca
Laterallus melanophaius,Laterallus melanophaius
Lepidocolaptes albolineatus,Lepidocolaptes albolineatus
Lepidocolaptes lacrymiger,Lepidocolaptes lacrymiger
Lepidothrix iris,Lepidothrix iris
Leptodon forbesi,Leptodon forbesi
Leptopogon amaurocephalus,Leptopogon amaurocephalus
Leptopogon superciliaris,Leptopogon superciliaris
Leptosittaca branickii,Leptosittaca branickii
Leptotila cassinii,Leptotila cassinii
Leptotila plumbeiceps,Leptotila plumbeiceps
Lochmias nematura,Lochmias nematura
Lophotriccus pileatus,Lophotriccus pileatus
Loriotus cristatus,Loriotus cristatus
Loriotus luctuosus,Loriotus luctuosus
Lurocalis semitorquatus,Lurocalis semitorquatus
Mackenziaena severa,Mackenziaena severa
Malacoptila mystacalis,Malacoptila mystacalis
Malacoptila panamensis,Malacoptila panamensis
Malacoptila rufa,Malacoptila rufa
Manacus manacus,Manacus manacus
Mecocerculus leucophrys,Mecocerculus leucophrys
Melanerpes aurifrons,Melanerpes aurifrons
Melanotis caerulescens,Melanotis caerulescens
Metallura tyrianthina,Metallura tyrianthina
Microcerculus marginatus,Microcerculus marginatus
Milvus milvus,Milvus milvus
Mitu tuberosum,Mitu tuberosum
Momotus coeruliceps,Momotus coeruliceps
Mustelirallus albicollis,Mustelirallus albicollis
Myiarchus cephalotes,Myiarchus cephalotes
Myiarchus crinitus,Myiarchus crinitus
Myiarchus ferox,Myiarchus ferox
Myiarchus tyrannulus,Myiarchus tyrannulus
Myioborus ornatus,Myioborus ornatus
Myiodynastes luteiventris,Myiodynastes luteiventris
Myiodynastes maculatus,Myiodynastes maculatus
Myiopagis viridicata,Myiopagis viridicata
Myiornis ecaudatus,Myiornis ecaudatus
Myiothlypis flaveola,Myiothlypis flaveola
Myiothlypis fulvicauda,Myiothlypis fulvicauda
Myiothlypis leucoblephara,Myiothlypis leucoblephara
Myiothlypis luteoviridis,Myiothlypis luteoviridis
Myiothlypis nigrocristata,Myiothlypis nigrocristata
Myrmeciza longipes,Myrmeciza longipes
Myrmoborus myotherinus,Myrmoborus myotherinus
Myrmoderus loricatus,Myrmoderus loricatus
Myrmotherula schisticolor,Myrmotherula schisticolor
Nemosia pileata,Nemosia pileata
Neopelma pallescens,Neopelma pallescens
Nothocercus julius,Nothocercus julius
Nyctiphrynus ocellatus,Nyctiphrynus ocellatus
Nystalus striolatus,Nystalus striolatus
Ochthoeca fumicolor,Ochthoeca fumicolor
Ocreatus underwoodii,Ocreatus underwoodii
Oncostoma cinereigulare,Oncostoma cinereigulare
Ortalis araucuan,Ortalis araucuan
Ortalis canicollis,Ortalis canicollis
Ortalis vetula,Ortalis vetula
Oxyruncus cristatus,Oxyruncus cristatus
Pachyramphus versicolor,Pachyramphus versicolor
Pachyramphus viridis,Pachyramphus viridis
Pachysylvia aurantiifrons,Pachysylvia aurantiifrons
Pachysylvia decurtata,Pachysylvia decurtata
Pachysylvia semibrunnea,Pachysylvia semibrunnea
Pandion haliaetus,Pandion haliaetus
Patagioenas picazuro,Patagioenas picazuro
Penelope montagnii,Penelope montagnii
Penelope perspicax,Penelope perspicax
Penelope purpurascens,Penelope purpurascens
Penelope superciliaris,Penelope superciliaris
Phacellodomus rufifrons,Phacellodomus rufifrons
Phaeomyias murina,Nesotriccus murinus
Phaethornis guy,Phaethornis guy
Phaethornis ruber,Phaethornis ruber
Phaethornis striigularis,Phaethornis striigularis
Pheugopedius coraya,Pheugopedius coraya
Pheugopedius genibarbis,Pheugopedius genibarbis
Pheugopedius maculipectus,Pheugopedius maculipectus
Pheugopedius sclateri,Pheugopedius sclateri
Phyllomyias fasciatus,Phyllomyias fasciatus
Phyllomyias nigrocapillus,Tyranniscus nigrocapillus
Phylloscartes ophthalmicus,Pogonotriccus ophthalmicus
Picumnus albosquamatus,Picumnus albosquamatus
Picumnus exilis,Picumnus exilis
Picumnus limae,Picumnus limae
Picumnus olivaceus,Picumnus olivaceus
Picumnus temminckii,Picumnus temminckii
Pionus maximiliani,Pionus maximiliani
Pionus tumultuosus,Pionus tumultuosus
Pipile cujubi,Pipile cujubi
Pipraeidea melanonota,Pipraeidea melanonota
Piranga roseogularis,Piranga roseogularis
Piranga rubra,Piranga rubra
Platyrinchus cancrominus,Platyrinchus cancrominus
Platyrinchus mystaceus,Platyrinchus mystaceus
Poecilotriccus plumbeiceps,Poecilotriccus plumbeiceps
Poliocrania exsul,Poliocrania exsul
Polioptila dumicola,Polioptila dumicola
Polioptila plumbea,Polioptila plumbea
Polytmus guainumbi,Polytmus guainumbi
Porzana carolina,Porzana carolina
Psarocolius decumanus,Psarocolius decumanus
Psilorhamphus guttatus,Psilorhamphus guttatus
Psittacara leucophthalmus,Psittacara leucophthalmus
Psittacara wagleri,Psittacara wagleri
Pteroglossus aracari,Pteroglossus aracari
Pteroglossus torquatus,Pteroglossus torquatus
Pulsatrix koeniswaldiana,Pulsatrix koeniswaldiana
Pulsatrix perspicillata,Pulsatrix perspicillata
Pyriglena leuconota,Pyriglena leuconota
Pyriglena leucoptera,Pyriglena leucoptera
Pyroderus scutatus,Pyroderus scutatus
Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomeus
Pyrrhura picta,Pyrrhura picta
Ramphastos ambiguus,Ramphastos ambiguus
Ramphastos dicolorus,Ramphastos dicolorus
Ramphocaenus melanurus,Ramphocaenus melanurus
Ramphomicron microrhynchum,Ramphomicron microrhynchum
Ramphotrigon megacephalum,Ramphotrigon megacephalum
Rhytipterna holerythra,Rhytipterna holerythra
Sakesphorus canadensis,Sakesphorus canadensis
Saltator atripennis,Saltator atripennis
Saltator grossus,Saltator grossus
Saltator similis,Saltator similis
Schiffornis turdina,Schiffornis turdina
Schiffornis virescens,Schiffornis virescens
Scytalopus latrans,Scytalopus latrans
